nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,total_checks,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,total_mates
9491604100,1901746429,3017466,229375389,407432,178202633,1245234,109869,0,179557736,2550294,0,608,0,2550902
8711431200,1637014412,2859322,207243863,390840,166805771,1192458,105003,0,168103232,2388368,0,592,0,2388960
7059227732,1354576316,2403285,178330081,356272,142958542,1079075,94210,0,144131827,2090970,0,560,0,2091530
7265571564,1170939548,2450284,187831513,375816,142747839,1112330,100481,0,143960650,2100582,0,583,0,2101165
6261927843,1062683063,2202329,166323696,354744,130410200,1042968,90978,0,131544146,1990261,0,555,0,1990816
5928350487,1094216280,2141170,158295399,353284,120009121,983991,83087,0,121076199,1945503,0,526,0,1946029
9741806126,1876283514,27489,236990523,7326920,443773714,1711741,179578,0,445665033,3938435,4,1113,0,3939552
7180089264,1429645697,12373,176150703,25439224,146698791,943642,77258,0,147719691,4768966,0,1402,0,4770368
7574150349,1476603892,2567018,114794400,358460,139628064,1073449,96356,0,140797869,2058772,0,560,0,2059332
7560735010,1482507366,2567430,121876285,358468,140340700,1073877,96457,0,141511034,2065465,0,560,0,2066025
9346560191,1882004864,2882969,237675385,358416,169238866,1150910,98378,0,170488154,2408000,0,580,0,2408580
8536331785,1650624183,2664413,221767962,289240,336713929,750139,32957,0,337497025,3804058,0,111,0,3804169
7679730505,1268086349,2674556,191352614,331184,122703527,692908,15093,0,123411528,2946532,0,55,0,2946587
8964657917,1488786908,2881636,224330444,435040,264667178,17480765,3742981,0,285890924,591245,6,22881,0,614132
8146033781,1257759463,2781817,203374889,396464,219282104,14308731,627294,0,234218129,696453,1244,3654,0,701351
6010078078,980245262,2133773,161954280,388880,93253190,98149,5005,0,93356344,354832,0,0,0,354832
6485370632,976055791,2324321,174301136,363308,175744691,105850,5063,0,175855604,356896,0,1,0,356897
6143255313,1020507019,2274684,159552211,414084,194886941,129277,7231,0,195023449,510441,0,6,0,510447
8102096729,1456026148,891841,199924267,340796,111150144,2093207,42952,0,113286303,3327821,0,25,0,3327846
7188695081,1365607393,2423610,119126612,382936,145709508,1105595,101177,0,146916280,2079143,0,584,0,2079727
8831533611,1743868776,2738037,207941903,382376,172553901,1183936,105790,0,173843627,2735441,0,584,0,2736025
7644341581,1365759406,2524183,183905510,381792,116956403,1183907,126666,0,118266976,929573,7,644,0,930224
8614847947,1654960483,2801521,201223490,351188,158155466,1031443,95387,0,159282296,6876261,2,539,0,6876802
7594325672,1477756081,2514200,177657843,342088,146989215,1123842,110093,0,148223150,2459540,24,672,0,2460236
6480008058,1045554544,2199666,160421040,219260,125944563,1029247,87111,0,127060921,1940664,0,572,0,1941236
5464336094,1078056465,1966835,46788434,407432,112808484,583655,20116,0,113412255,1502604,0,34,0,1502638
7893751276,1532461376,2648470,127642206,410984,155068637,1146007,102786,0,156317430,2110097,0,584,0,2110681
7843129110,1462799964,2608797,196045561,356952,154758472,1160446,97747,0,156016665,2290183,0,591,0,2290774
8143385765,1484704500,2658490,198181665,332592,152610419,1165262,100508,0,153876189,2299495,0,890,0,2300385
7708742487,1458105098,2428141,182602205,299036,204985529,17856506,3161045,0,226003080,2194979,0,22795,0,2217774
7312345541,1412081924,2456845,100651881,382868,148542704,1120657,102101,0,149765462,2113808,0,584,0,2114392
7249929466,1408433269,2447122,100298793,382868,147842541,1118897,102119,0,149063557,2105376,0,584,0,2105960
6710600976,1325538067,2281474,99882001,382884,139846599,1128320,123306,0,141098225,1989731,0,584,0,1990315
6941145758,1361381734,2361710,92596918,384064,143702650,1108366,102453,0,144913469,2027357,0,584,0,2027941
7743466513,1483021724,2567655,97584548,380524,153232382,1138432,101780,0,154472594,2194785,0,590,0,2195375
10314822739,1590139591,3268631,254323171,374116,239933113,936171,150969,0,241020253,936172,0,648,0,936820
7136487960,1445367419,2534997,168662432,273668,330767956,2341669,135082,0,333244707,13303300,2254,2273,0,13307827
7637864872,1328213954,2523693,200315096,357336,115246293,689722,229683,0,116165698,349697,0,581,0,350278
8885152041,1631299102,2805508,216880195,383940,138717244,1250313,110501,0,140078058,842089,0,643,0,842732
9484342196,1747240954,3032499,227974442,383884,148113303,1380932,245850,0,149740085,1011576,2,1392,0,1012970
8487829062,1544922681,2784048,206991665,383372,181138161,1296613,113076,0,182547850,2508656,2,651,0,2509309
9047498461,1760657206,2924737,221514277,380740,180504810,1434270,256917,0,182195997,1147501,0,1381,0,1148882
10870589675,2202042563,3454081,260865718,428252,263623777,2211015,288870,0,266123662,3444045,15,1386,0,3445446
9445639220,1783607816,3043831,229726706,381540,214344965,2962627,470753,0,217778345,1274296,0,2076,0,1276372
6605992768,1281234195,2249288,0,352116,136886343,1074951,100052,0,138061346,1951483,0,584,0,1952067
6050797903,1193516866,2139173,0,327044,125824398,1017306,91864,0,126933568,1849307,0,560,0,1849867
8038310789,1528490783,2659057,0,383024,158608171,1161084,102763,0,159872018,2255362,0,584,0,2255946
6631088095,1316509788,2270657,0,385196,139811644,1134444,124568,0,141070656,1965630,0,584,0,1966214
