nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
6851904381,887220535,4370,0,0,109311986,568916,166609,0,283351,0,17,0,1739541071,1739541108,3.7037322e+08,2,1392170767188480743,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PPQ1PP1/R4RK1 b - - 0 1,1,0,Timmoth
7190447172,1013361131,4261,0,0,113247589,524934,165273,0,286350,0,29,0,1739541071,1739541109,3.7844458e+08,2,1404783871536345714,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NPQN1P/1PP2PP1/R4RK1 b - - 0 1,1,0,Timmoth
7843072923,994076502,4697,0,0,120868925,599007,174270,0,20458,0,17,0,1739541071,1739541109,4.127933e+08,2,7219884013845967237,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/R4R1K b - - 0 1,1,0,Timmoth
8310585339,1035413035,4670,0,0,124568633,597863,173937,0,20976,0,17,0,1739541071,1739541112,2.026972e+08,1,4710412055691222052,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPPK/R4R2 b - - 0 1,1,0,Timmoth
8436187078,1236911633,139945,0,0,53576926,30154,8971,0,62105,0,0,0,1739541071,1739541129,1.454515e+08,1,14705469299369328496,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/1PB1P1b1/P1NP1N1P/2P1QPP1/R4RK1 b - b3 0 1,1,0,Timmoth
7657311865,1067043684,6345,0,0,59883269,180259,48562,0,8172,0,0,0,1739541022,1739541073,3.0028675e+08,2,840387508527724486,r4rk1/1pp2ppp/p1npqn2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/R1R3K1 b - - 0 1,1,0,Timmoth
8130231567,1111723817,6581,0,0,62420304,184434,49858,0,8190,0,0,0,1739541022,1739541073,3.188326e+08,2,213172192854861500,r4rk1/1pp2ppp/p1npqn2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/R2R2K1 b - - 0 1,1,0,Timmoth
5427108510,789416272,5935,0,0,42131365,20479,4989,0,49436,0,0,0,1739541081,1739541167,1.26211824e+08,2,1094963881537920977,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P2P1N1P/1PP1QPP1/R2N1RK1 b - - 0 1,7,0,Chester-alt
7330770560,991273359,5935,0,0,49742855,20497,4981,0,56305,0,0,0,1739541081,1739541181,1.4661541e+08,2,15364188440028630779,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P2P1N1P/NPP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7846002394,1149793375,4287,0,0,51302702,20699,4981,0,57168,0,0,0,1739541081,1739541182,1.5536638e+08,2,5147514895977196233,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/N1B1P1b1/P2P1N1P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
8554516299,1332232154,1322,0,0,60891433,39730,9684,0,83405,0,0,0,1739541081,1739541185,1.6450992e+08,2,8083125380506124153,r4r1k/1pp1qppp/p1np1n2/1Nb1p1B1/2B1P1b1/P2P1N1P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7401652744,955390234,4490,0,0,119365771,658811,194305,0,18144,0,21,0,1739541061,1739541098,4.0008934e+08,2,7450507370260255025,r2q1rk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/R4R1K b - - 0 1,1,0,Timmoth
7847224919,995726468,4463,0,0,123169801,662557,195595,0,18721,0,21,0,1739541061,1739541102,1.9139573e+08,1,4758356979694763152,r2q1rk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPPK/R4R2 b - - 0 1,1,0,Timmoth
6191262635,899871026,109744,0,0,98163619,486933,156399,0,18567,0,17,0,1739541061,1739541108,1.3172899e+08,1,2122888060727428409,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/1PB1P1b1/P1NP1N1P/2P1QPP1/R4RK1 b - b3 0 1,1,0,Timmoth
6604871319,859001254,124211,0,0,105189749,567651,165812,0,19311,0,17,0,1739541061,1739541102,3.2218883e+08,2,944195201093668173,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/P1B1P1b1/2NP1N1P/1PP1QPP1/R4RK1 b - - 0 1,1,0,Timmoth
7898335969,1145159684,117227,0,0,110636282,592104,162507,0,24268,0,17,0,1739541061,1739541104,3.6736445e+08,2,14330127721707323477,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2BPP1b1/P1N2N1P/1PP1QPP1/R4RK1 b - - 0 1,1,0,Timmoth
3868274589,456435418,10837,0,0,64763913,495391,148161,0,14687,0,21,0,1739541061,1739541094,1.1722044e+08,1,17458530200155446777,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1P1/P1NP1N2/1PP1QPP1/R4RK1 b - - 0 1,1,0,Timmoth
5686286597,704905663,23346,0,0,93559074,530323,153849,0,18601,0,17,0,1739541061,1739541098,1.5368342e+08,1,15645358686469285455,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1bP/P1NP1N2/1PP1QPP1/R4RK1 b - - 0 1,1,0,Timmoth
4267735369,601128100,4592,0,0,71376967,226576,52913,0,16366,0,1,0,1739541061,1739541096,2.4387059e+08,2,12541967828444205331,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P2P1N1P/1PP1QPP1/RN3RK1 b - - 0 1,1,0,Timmoth
3988318301,577061649,4592,0,0,68172322,230177,54219,0,16045,0,1,0,1739541061,1739541095,2.3460696e+08,2,16019381677641098648,r3qrk1/1pp2ppp/p1np1n2/2b1p1B1/2B1P1b1/P2P1N1P/1PP1QPP1/R2N1RK1 b - - 0 1,1,0,Timmoth
8375333982,1067164886,4662,0,0,124334467,636347,187012,0,3636,0,0,0,1739540962,1739541063,8.2924096e+07,1,18178948222196092320,rr4k1/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPPK/R4R2 b - - 0 1,7,0,Chester-alt
5650448039,856497680,6581,0,0,49235045,170202,45337,0,8034,0,0,0,1739541022,1739541064,2.6906896e+08,2,136185224001948060,r4rk1/1pp2ppp/p1npqn2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/4RRK1 b - - 0 1,1,0,Timmoth
6369060399,932970456,6581,0,0,53543124,176379,47275,0,8078,0,0,0,1739541022,1739541065,2.9623536e+08,2,7527183981282219143,r4rk1/1pp2ppp/p1npqn2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/3R1RK1 b - - 0 1,1,0,Timmoth
6989535777,936622765,131050,0,0,110493708,626656,184812,0,3538,0,0,0,1739540962,1739541068,1.3187803e+08,2,4533218061698388952,r1r3k1/1pp1qppp/p1np1n2/2b1p1B1/P1B1P1b1/2NP1N1P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
5590317671,772094712,133992,0,0,106157802,1052049,258313,0,6721,0,0,0,1739541206,1739541419,2.6245622e+07,1,17135129952783630149,r4rk1/1pp1qpp1/p1np1n1p/2b1p3/2B1P1bP/P1NP1N2/1PP1QPP1/R1B2RK1 b - - 0 1,7,0,Chester-alt
6953448967,918436485,147945,0,0,123975027,1126489,283512,0,6063,0,0,0,1739541206,1739541439,2.9843128e+07,1,4366039696524185928,r4rk1/1pp1qpp1/p1np1n1p/2b1p3/2B1P1bP/P1NP1N2/1PPBQPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7633312731,1048659800,154232,0,0,130084192,1074101,284462,0,1875,0,0,0,1739541206,1739541444,3.2072742e+07,1,7355126554412671426,r4rk1/1pp1qpp1/p1np1n1p/2b1p3/2B1P1bP/P1NPBN2/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
6241524588,934881880,27595,0,0,107371616,726790,209822,0,2433,0,4,0,1739541206,1739541443,2.6335546e+07,1,9917192247993327625,r4rk1/1pp1qpp1/p1np1n1p/2b1p1B1/2B1P1bP/P1NP1N2/1PP1QPP1/1R3RK1 b - - 0 1,7,0,Chester-alt
5844428832,896375801,24240,0,0,102241516,699642,201096,0,2407,0,4,0,1739541206,1739541443,2.4660036e+07,1,11918802918410809795,r4rk1/1pp1qpp1/p1np1n1p/2b1p1B1/2B1P1bP/P1NP1N2/1PP1QPP1/2R2RK1 b - - 0 1,7,0,Chester-alt
8675661467,1212213658,28737,0,0,138236558,811372,234745,0,2391,0,4,0,1739541209,1739541291,1.0580075e+08,1,1890757010236802754,r4rk1/1pp1qpp1/p1np1n1p/2b1p1B1/2B1P1bP/P1NP1N2/1PP1QPP1/R4R1K b - - 0 1,1,0,Timmoth
9250578569,1268431537,28657,0,0,143261169,815357,235626,0,2564,0,4,0,1739541209,1739541293,1.10125936e+08,1,4562641165953837923,r4rk1/1pp1qpp1/p1np1n1p/2b1p1B1/2B1P1bP/P1NP1N2/1PP1QPPK/R4R2 b - - 0 1,1,0,Timmoth
5095596834,747687099,103484,0,0,83799880,488107,156585,0,4839,0,4,0,1739541209,1739541280,7.176897e+07,1,17064325173430622748,r4rk1/1pp1qpp1/p1np1n2/2b1p1Bp/1PB1P1bP/P1NP1N2/2P1QPP1/R4RK1 b - b3 0 1,1,0,Timmoth
5412451094,700360687,4693,0,0,89437714,561256,163269,0,4972,0,4,0,1739541209,1739541282,7.414317e+07,1,9860926659899364567,r4rk1/1pp1qpp1/p1np1n2/2b1p1Bp/2B1P1bP/P1NP1NP1/1PP1QP2/R4RK1 b - - 0 1,1,0,Timmoth
11951328581,1796970482,8133,0,0,381723324,1485059,350509,0,940028,0,1928,0,1739541081,1739541209,1.867395e+08,2,4231334198339095733,r4r1k/1pp1qppp/p1np1n2/2b1N1B1/2B1P1b1/P1NP3P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
5553660656,783018800,6181,0,0,30064003,14624,4028,0,237716,0,0,0,1739541081,1739541173,1.2073175e+08,2,1411837197393801824,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP3P/1PP1QPP1/R3NRK1 b - - 0 1,7,0,Chester-alt
7793815033,1019608840,5924,0,0,37211953,15440,4628,0,243700,0,0,0,1739541081,1739541184,1.5133621e+08,2,6474442422625851145,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP3P/1PPNQPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7987373651,1107621358,6181,0,0,37950050,16891,4728,0,248461,0,0,0,1739541081,1739541166,9.3969104e+07,1,14963318785961860381,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP3P/1PP1QPPN/R4RK1 b - - 0 1,7,0,Chester-alt
10683357528,1402344639,5476,0,0,46319095,32305,5245,0,279052,0,0,0,1739541081,1739541196,1.8579752e+08,2,18058544998956192076,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2BNP1b1/P1NP3P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7950085096,1032430333,6034,0,0,192592124,17301,4995,0,303100,0,96,0,1739541081,1739541187,1.500016e+08,2,13062842148269370148,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1bN/P1NP3P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7691883230,934633665,5972,0,0,46293911,475,124,0,32469,0,0,0,1739541081,1739541185,1.4792083e+08,2,14470488709686850366,r4r1k/1pp1qppp/B1np1n2/2b1p1B1/4P1b1/P1NP1N1P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
10398206319,1118996462,5677,0,0,48902898,30484,9572,0,691645,0,0,0,1739541081,1739541206,1.663713e+08,2,2686428924598668278,r4r1k/1pp1qBpp/p1np1n2/2b1p1B1/4P1b1/P1NP1N1P/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7722301574,933108435,5941,0,0,52007182,34558,8948,0,61293,0,0,0,1739541081,1739541184,1.499476e+08,2,4829175926396436850,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/4P1b1/P1NP1N1P/BPP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7762194863,1043358670,6009,0,0,124658850,607427,175701,0,19387,0,17,0,1739541040,1739541089,3.168243e+08,2,6821234803197138231,r4rk1/1ppq1ppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPP1/R2R2K1 b - - 0 1,1,0,Timmoth
11236259297,1407746885,6019,0,0,65183004,35804,9628,0,69893,0,0,0,1739541093,1739541191,1.14655704e+08,1,10393445739999061613,r4r1k/1pp1qppp/p1np1n2/2b1p1B1/2B1P1b1/P1NP1N1P/1PP1QPPK/R4R2 b - - 0 1,7,0,Chester-alt
5452530807,670496813,26197,0,0,96074230,612119,177413,0,9813,0,20,0,1739541093,1739541205,4.8683312e+07,1,11095791389913020336,r4rk1/1pp1qppp/2np1n2/p1b1p1B1/2B1P1bP/PPNP1N2/2P1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
6825727198,965439308,242877,0,0,113234145,603383,191893,0,9935,0,20,0,1739541093,1739541219,5.417244e+07,1,6752397458810948142,r4rk1/1pp1qppp/2np1n2/p1b1p1B1/1PB1P1bP/P1NP1N2/2P1QPP1/R4RK1 b - b3 0 1,7,0,Chester-alt
6477756515,738769252,26182,0,0,108687424,645874,188049,0,9956,0,20,0,1739541093,1739541215,5.3096364e+07,1,4160464511351964901,r4rk1/1pp1qppp/2np1n2/p1b1p1B1/2B1P1bP/P1NP1NP1/1PP1QP2/R4RK1 b - - 0 1,7,0,Chester-alt
5693013670,659918274,24848,0,0,97045452,616746,180204,0,9345,0,20,0,1739541093,1739541213,4.744178e+07,1,5609552535593402970,r4rk1/1pp1qppp/2np1n2/p1b1p1B1/P1B1P1bP/2NP1N2/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
7817035882,1009949007,146162,0,0,114940791,688898,187994,0,14082,0,20,0,1739541093,1739541234,5.5439968e+07,1,9664023286306639682,r4rk1/1pp1qppp/2np1n2/p1b1p1B1/2BPP1bP/P1N2N2/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
6879514054,783476073,883241,0,191252,113020701,648865,188784,0,10457,8,20,0,1739541093,1739541225,5.2117528e+07,1,243301816995636318,r4rk1/1pp1qppp/2np1n2/p1b1p1BP/2B1P1b1/P1NP1N2/1PP1QPP1/R4RK1 b - - 0 1,7,0,Chester-alt
