nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
197413067,40162639,7755,4699200,1494412,1974391,5125,428,0,5410,0,0,0,1739401203,1739401207,4.9353264e+07,1,599578092869898333,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/P1N2Q1p/1PPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
183872225,37734784,6269,4435329,1422860,1892268,5058,424,0,5322,0,0,0,1739401203,1739401207,4.5968056e+07,1,15621611662988076535,r3k2r/p1ppqpb1/bn2pnp1/3PN3/Pp2P3/2N2Q1p/1PPBBPPP/R3K2R b KQkq a3 0 1,1,0,Timmoth
130642863,25053852,60540,1905741,1368444,1842549,14882,166,0,1150,0,0,0,1739401204,1739401207,4.354762e+07,1,1431999469626031762,r3k2r/p1ppqpb1/Bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPB1PPP/R3K2R b KQkq - 0 1,1,0,Timmoth
131348645,23184862,66289,3143196,985164,1194288,57716,6403,0,50681,0,4,0,1739401204,1739401207,4.378288e+07,1,12530238490637544948,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPB1PPP/R2BK2R b KQkq - 0 1,1,0,Timmoth
174218453,33159603,79838,4145562,1905672,1579236,43121,231,0,4687,0,4,0,1739401204,1739401208,4.3554612e+07,1,12704254077487551678,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPB1PPP/R3KB1R b KQkq - 0 1,1,0,Timmoth
167737155,32266462,75915,4009936,1346680,2031212,13505,144,0,2496,0,0,0,1739401204,1739401208,4.1934288e+07,1,2131632876147659716,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2NB1Q1p/PPPB1PPP/R3K2R b KQkq - 0 1,1,0,Timmoth
170094798,35185655,68369,4076372,1427048,2095673,84622,9710,0,5320,0,4,0,1739401204,1739401208,4.25237e+07,1,3110581361473242897,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1pB1P3/2N2Q1p/PPPB1PPP/R3K2R b KQkq - 0 1,1,0,Timmoth
158033152,31538520,67832,3753965,1415684,2114585,20459,966,0,7151,0,0,0,1739401204,1739401208,3.9508288e+07,1,8882898107109933620,r3k2r/p1ppqpb1/bn2pnp1/1B1PN3/1p2P3/2N2Q1p/PPPB1PPP/R3K2R b KQkq - 0 1,1,0,Timmoth
160413321,30628751,71620,3817246,1238656,1696135,4998,418,0,4885,0,0,0,1739401204,1739401208,4.0103328e+07,1,10420545207046413065,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/1R2K2R b Kkq - 0 1,1,0,Timmoth
159720218,30387658,73146,3800222,1230060,1670720,4880,394,0,5154,0,8,0,1739401204,1739401208,3.9930056e+07,1,13570998735063943875,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/2R1K2R b Kkq - 0 1,1,0,Timmoth
149265033,28731024,68523,3548546,1146904,1434715,3167,66,0,4381,0,0,0,1739401204,1739401208,3.7316256e+07,1,13045008875074460601,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/3RK2R b Kkq - 0 1,1,0,Timmoth
