nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,total_checks,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,total_mates
402654556153,83946603342,25071045,7277927438,4333732956,6124688185,50233912,3807967,0,6178730064,34446893,10041,15575,0,34472509
363636312256,76313758623,21183867,6635540739,3979840392,5660829071,47321777,3599271,0,5711750119,32147322,9700,15147,0,32172169
287466826392,56785081910,135166685,5193050734,3139266164,4623591090,40051601,3209397,0,4666852088,26793375,9167,14114,0,26816656
299731647143,56921293442,129162084,5274246110,143108268,3401674655,46501450,3374910,0,3451551015,11606287,2138,21638,0,11630063
252982671742,45986344619,114592095,4589355601,193922984,2740509772,38459389,2816402,0,2781785563,10449677,300,10685,0,10460662
238841590165,45568900405,109730410,4331112740,180742680,2640673617,36587462,2733683,0,2679994762,10166796,2107,11311,0,10180214
416725713915,78327453788,172670326,7260013752,3994076616,6484760995,58324374,4244214,0,6547329583,43974059,9057,14413,0,43997529
281928947052,54715701137,125979365,4851511391,3492505692,4542383261,22310505,3358414,0,4568052180,32092153,9929,11285,0,32113367
314690850723,57899643026,208892093,5589560413,3496796404,5397132944,48619195,3963964,0,5449716103,37190656,11814,11174,0,37213644
313541077840,57890078471,214612074,5583637384,3446637788,4804901333,36840407,1666924,0,4843408664,33812052,8417,25469,0,33845938
386563996492,77225497113,131648987,6754529642,4313309264,6379991911,53187239,4309142,0,6437488292,47558995,13303,14632,0,47586930
335285961781,64979435211,218904084,5769193614,4018637384,5534204559,27281893,2164606,0,5563651058,19395578,636,9079,0,19405293
321396995625,65933558697,135200909,4396685562,3493630880,5601692797,87814198,3754734,0,5693261729,34164544,11032,25384,0,34200960
392791660921,86008656568,160929394,5229491977,3784384384,6311372279,94038197,5096860,0,6410507336,39000246,10951,33547,0,39044744
342156201114,71551583406,144582554,3860400872,3585509516,5724693894,87131391,3862567,0,5815687852,36537203,10809,24359,0,36572371
256502027044,47163425489,110956146,5089888988,2610164900,3938018727,32494828,892738,0,3971406293,10488926,522,32938,0,10522386
270362407999,53449999082,99097846,5168549819,2879229188,4264815718,53025131,3066562,0,4320907411,11641313,1402,17847,0,11660562
258333972987,49428143318,118733782,4918303921,2757542576,4332946789,65716886,3030740,0,4401694415,19832367,8225,19954,0,19860546
338226587566,69672554810,133123443,4343936630,3825675300,5991708411,93743834,3862704,0,6089314949,36493563,11950,26013,0,36531526
299879274628,58334620592,129901111,5373598255,3264045480,6220528737,64312249,5786500,0,6290627486,9766625,1091,74673,0,9842389
367090135640,73355094440,150409392,6602125622,4056071100,6656353488,56593606,6381087,0,6719328181,8509456,1789,20493,0,8531738
320459928018,63062812909,135452821,5751438789,3511876628,6143765001,64913028,5592448,0,6214270477,7574508,836,14844,0,7590188
349225586853,72208223529,144111491,6093872796,4080015612,7108096408,72163458,6115796,0,7186375662,12002906,998,16619,0,12020523
309132031261,67757644479,130232663,5760630474,3563652436,6796022159,67891363,5932250,0,6869845772,11694966,1077,15706,0,11711749
241387211019,47745247645,106715471,2738369508,3450271336,5050259050,77672438,2316538,0,5130248026,8821866,769,11296,0,8833931
